Lambda,avgtrain,testavg
10,70.69664574280245,74.51875991654587
20,29.55610463712565,30.308289228959165
30,16.873522213472583,18.14424663929358
40,11.717617695270262,12.729294950133825
50,9.68554276662118,9.889522122957725
60,8.103832949125197,8.872532535976063
70,7.153200626904696,7.963628089815872
80,6.643860625664498,7.329881831916526
90,6.040669687260121,6.382242418284875
100,5.565192081413752,6.368854496622121
110,5.4324255507454895,5.9160660282478705
120,5.121926696867589,5.972076167862957
130,5.053830857346948,5.7286634831980505
140,4.934091935338094,5.630370452330818
150,4.820915638928108,5.433368661434961
160,4.621864281231539,5.2873155566107535
170,4.536730507741494,5.282701605522565
180,4.628589342344957,5.26162149289881
190,4.406974016675815,5.249369937743721
200,4.329136884134741,5.223949152062108
210,4.55482366313708,5.094741262405908
220,4.211198876342264,5.151016099700794
230,4.111952096769612,5.067906581705574
240,4.3307840734903715,5.033141903656959
250,4.239702350688105,4.955111075134765
260,4.419709719826775,4.968325598943831
270,4.249543603669128,4.940497439264771
280,4.21404152023107,4.917767093119901
290,4.172966722016142,4.973316222657725
300,4.128873129023406,4.885026888024165
310,4.353249163814212,4.869156029169843
320,4.226998859791319,4.870283941601798
330,4.210127466765012,4.839290894194009
340,4.098617524954711,4.889881552095739
350,4.109740988088597,4.815733303538379
360,4.026354550101871,4.817932691608011
370,4.04988481239472,4.793475044731306
380,4.092967991671458,4.795043758798864
390,4.0565622219373605,4.790654266797834
400,3.9209184748081625,4.808935409143573
410,3.9991601189612687,4.798382054475863
420,3.9744062987763544,4.799047310286219
430,3.7680136470282566,4.826647292026183
440,3.948222136326876,4.792133121850571
450,3.9396917745989692,4.791931035834727
460,4.0308530699358975,4.764891109372767
470,3.9987797000207936,4.762795357891227
480,4.001658430527252,4.714544668678018
490,4.002853243802582,4.755094720317849
500,3.880048882925801,4.7400547736836485
510,3.9257550112403745,4.734271284228969
520,3.8673390768847056,4.734417302261877
530,3.8862802333437116,4.721619896541309
540,3.994031685821639,4.704580017950333
550,3.8961427699869473,4.727789866495161
560,3.768413712695084,4.719429683389091
570,3.864778019874493,4.708576066871389
580,3.915159287518024,4.699234291720677
590,3.869724403789135,4.70603218487178
600,3.9055470661017635,4.703366471269076
610,3.8875463118290257,4.686147319388308
620,3.794898041984189,4.704952273996837
630,3.9161558774279097,4.696586092736722
640,3.925391271597001,4.644824601407916
650,3.7924952607922715,4.675632063014382
660,3.774663898642666,4.65288082387305
670,3.877176008869759,4.664175844403195
680,3.8607846097617298,4.666572753983909
690,3.863558095019522,4.635894166814158
700,3.8395558776312475,4.636233826074017
710,3.795793632713917,4.62503303059874
720,3.858605897266792,4.6461020373438755
730,3.777116682577402,4.648877784363489
740,3.8751200136504824,4.644252456347025
750,3.839397464023878,4.621857123588582
760,3.890444112140659,4.634349344759788
770,3.7780533985110627,4.62043408069657
780,3.744141208454806,4.623119196571141
790,3.7198020683428075,4.620111982363038
800,3.797246603607191,4.6332620901272525
810,3.7760494671822316,4.622386278488043
820,3.7926767463720616,4.599802707530238
830,3.8029852930497303,4.592587700420444
840,3.7301504335245292,4.585041360841639
850,3.8115116014385095,4.629553049273148
860,3.7750632195038483,4.60875307877801
870,3.798440142162959,4.608957297231879
880,3.796799035792147,4.594062911309221
890,3.7448543586931424,4.5967219613828245
900,3.763934609838673,4.58054274249927
910,3.7655190425738296,4.607713434780857
920,3.7601876733841775,4.5776446661284105
930,3.6971198719879936,4.582418276638716
940,3.705422437311554,4.575069776273681
