Lambda,MSE,testerror
1.0,0.48563703306494593,9.447588228934746
2.0,0.7598950481676401,7.663502426889933
3.0,0.9835247669733779,6.826326014313196
4.0,1.1730301254419526,6.333417465770878
5.0,1.3371578985648762,6.010311768184819
6.0,1.4815603302041505,5.784482838423285
7.0,1.610177818802415,5.619774355790034
8.0,1.7258840729942013,5.495998292275227
9.0,1.8308440921331695,5.4009591502499825
10.0,1.9267310463966547,5.326846448717069
11.0,2.014865278677123,5.26842608293312
12.0,2.096307148770386,5.222060696563265
13.0,2.1719211062049633,5.185145978502221
14.0,2.2424211175829027,5.155770050616483
15.0,2.3084036218383224,5.13249917188403
16.0,2.370371917491438,5.114238247800689
17.0,2.428754527236554,5.100137351395632
18.0,2.4839192431209725,5.089527479932368
19.0,2.5361840182167845,5.081875419125626
20.0,2.585825519006747,5.076751408007103
21.0,2.633085917365694,5.07380556894587
22.0,2.6781783403850583,5.072750457735313
23.0,2.7212912846756496,5.073347962326339
24.0,2.7625922229761732,5.075399340746644
25.0,2.802230574422296,5.0787375578644545
26.0,2.840340168816723,5.083221327779731
27.0,2.8770413050829364,5.088730436971391
28.0,2.9124424816481906,5.095162039806171
29.0,2.9466418596378303,5.102427699830539
30.0,2.9797285069566817,5.110451008467094
31.0,3.0117834615153125,5.119165654671232
32.0,3.0428806442788714,5.128513849683063
33.0,3.073087646896642,5.138445033505822
34.0,3.102466414032744,5.148914806505105
35.0,3.1310738368417605,5.159884042091413
36.0,3.1589622711120113,5.1713181459840145
37.0,3.1861799912517426,5.183186434823486
38.0,3.2127715894055906,5.195461612502673
39.0,3.2387783274550346,5.208119326929703
40.0,3.264238448407089,5.221137793320032
41.0,3.2891874526501197,5.234497472780306
42.0,3.3136583437122464,5.248180797047934
43.0,3.337681847460875,5.26217193192834
44.0,3.3612866080983133,5.276456573300751
45.0,3.3844993638278056,5.2910217706491265
46.0,3.40734510465383,5.305855773931745
47.0,3.429847214443567,5.3209479003181785
48.0,3.4520275990824545,5.336288417886686
49.0,3.4739068023178254,5.351868443856079
50.0,3.4955041106712965,5.367679855302769
51.0,3.5168376486267734,5.383715210640001
52.0,3.5379244651471566,5.399967680398067
53.0,3.5587806124429555,5.416430986065223
54.0,3.579421217803896,5.433099345931803
55.0,3.5998605492067166,5.449967427034675
56.0,3.6201120753296276,5.467030302428616
57.0,3.6401885205305358,5.484283413119587
58.0,3.660101915282128,5.501722534087497
59.0,3.679863642502565,5.519343743903003
60.0,3.6994844801722233,5.537143397512491
61.0,3.7189746405827164,5.555118101816013
62.0,3.738343806530669,5.573264693719201
63.0,3.7576011647325593,5.591580220374724
64.0,3.776755436709905,5.610061921368034
65.0,3.795814907368698,5.628707212632607
66.0,3.8147874514734084,5.647513671905131
67.0,3.833680558196947,5.6664790255553426
68.0,3.85250135390938,5.685601136643804
69.0,3.8712566233528802,5.704877994078922
70.0,3.8899528293366092,5.724307702760424
71.0,3.9085961310715005,5.743888474606943
72.0,3.92719240125419,5.76361862037804
73.0,3.945747242001719,5.783496542215249
74.0,3.9642659997239007,5.803520726825826
75.0,3.982753779018812,5.8236897392514875
76.0,4.001215455664584,5.844002217163104
77.0,4.019655688775809,5.864456865631221
78.0,4.038078932188862,5.885052452330889
79.0,4.0564894451312545,5.905787803136273
80.0,4.074891302228572,5.9266617980724945
81.0,4.093288402896273,5.947673367590106
82.0,4.111684480161114,5.968821489134904
83.0,4.130083108952051,5.990105183986125
84.0,4.14848771389752,6.01152351433846
85.0,4.16690157666438,6.033075580609068
86.0,4.185327842868595,6.05476051894805
87.0,4.203769528587588,6.076577498935405
88.0,4.222229526501032,6.098525721450437
89.0,4.240710611684082,6.120604416696825
90.0,4.259215447076685,6.142812842372202
91.0,4.277746588650013,6.165150281970347
92.0,4.296306490288358,6.18761604320312
93.0,4.314897508406926,6.21020945653644
94.0,4.3335219063198265,6.23292987382719
95.0,4.352181858375789,6.255776667055945
96.0,4.370879453874655,6.2787492271462835
97.0,4.389616700779428,6.301846962865626
98.0,4.408395529234937,6.325069299799567
99.0,4.427217794906375,6.34841567939588
100.0,4.446085282146512,6.371885558071031
101.0,4.4649997070038845,6.395478406376508
102.0,4.483962720080065,6.4191937082197965
103.0,4.502975909244531,6.443030960134768
104.0,4.522040802216325,6.4669896705998
105.0,4.541158869019707,6.491069359399568
106.0,4.560331524320553,6.5152695570259995
107.0,4.579560129651128,6.539589804118571
108.0,4.598845995528406,6.564029650937941
109.0,4.618190383472431,6.588588656872215
110.0,4.637594507930766,6.613266389974904
111.0,4.65705953811243,6.6380624265286725
112.0,4.676586599738211,6.662976350637341
113.0,4.6961767767106055,6.688007753841395
114.0,4.715831112707464,6.713156234755834
115.0,4.735550612705088,6.738421398731074
116.0,4.755336244431955,6.763802857531652
117.0,4.775188939758856,6.789300229034941
118.0,4.795109596027203,6.814913136946396
119.0,4.815099077320231,6.840641210532107
120.0,4.835158215677975,6.8664840843654416
121.0,4.855287812260551,6.892441398088185
122.0,4.8754886384620475,6.918512796185979
123.0,4.895761436976328,6.94469792777505
124.0,4.916106922818679,6.9709964464011325
125.0,4.936525784304409,6.997408009849995
126.0,4.957018683986798,7.023932279967053
127.0,4.977586259556679,7.050568922488185
128.0,4.9982291247046415,7.077317606878155
129.0,5.01894786994878,7.104178006178733
130.0,5.039743063428565,7.131149796864421
131.0,5.060615251667449,7.1582326587061775
132.0,5.081564960304032,7.1854262746411095
133.0,5.102592694795506,7.212730330650337
134.0,5.123698941092839,7.240144515642445
135.0,5.144884166289412,7.267668521342793
136.0,5.166148819245181,7.295302042188992
137.0,5.18749333118576,7.323044775230734
138.0,5.20891811628001,7.350896420036199
139.0,5.230423572193768,7.378856678600857
140.0,5.252010080624558,7.406925255263293
141.0,5.2736780078149925,7.435101856623366
142.0,5.29542770504737,7.46338619146522
143.0,5.317259509119863,7.491777970683544
144.0,5.339173742805322,7.520276907213822
145.0,5.361170715293161,7.548882715965968
146.0,5.383250722614977,7.577595113760399
147.0,5.40541404805508,7.606413819268105
148.0,5.427660962546079,7.6353385529529705
149.0,5.449991725050174,7.6643690370166375
150.0,5.4724065829274,7.693504995346758
