Lambda,avgtrain,testavg
10,0.06854503062237192,5.897853214224736
20,0.07417478503208395,5.640889186820447
30,0.08426285261753547,5.898657494795459
40,0.12820355055364566,6.37847073724765
50,0.19962051846398415,6.744261733062071
60,0.23229373378150284,7.062616785084797
70,0.28915007227800255,7.275760378924734
80,0.34449685531310525,7.393049043582917
90,0.4480212630361492,7.739638771888427
100,0.5555935959281287,8.065906233526551
110,0.6730285409553183,8.298143067807743
120,0.7592667839216614,8.238157990300392
130,0.893062466319646,7.794877214237025
140,1.154627451584809,7.742164257145348
150,1.2328997469923424,7.761650725133254
160,1.2933871897458404,7.896112365701218
170,1.4734702943736886,7.50297780182287
180,1.337659860590893,7.5660813912219735
190,1.6760075711742255,7.234307233662499
200,1.7180537957523763,6.769170390381829
210,1.8820425373341163,6.970107550361888
220,1.759348226079374,6.862372462451428
230,1.971279364373996,6.75489288572329
240,2.0469375850707405,6.519472903416673
250,2.0752155130551624,6.273773962192352
260,2.116809464597831,6.362309831931813
270,2.088645584403616,6.352419531739502
280,2.0636752984338247,6.369977158343504
290,2.2025558725503087,6.379313807327673
300,2.3043194333272417,6.040682349820793
310,2.2664216762570035,5.952479795453344
320,2.3079845481241787,5.875809810876728
330,2.3846288856299998,5.929980285253366
340,2.3721785666654194,5.789467030257898
350,2.4325605082754653,5.82260700599629
360,2.4129433504990305,5.755000337734369
370,2.5307582414438765,5.780310865034145
380,2.4837072280371717,5.673752027119651
390,2.516528117653094,5.523093074570879
400,2.516982350068641,5.631906519856072
410,2.6401559804214703,5.552277339873422
420,2.6440653902387057,5.585602980598151
430,2.6147653387601264,5.463856234087367
440,2.629426504159762,5.531654554664661
450,2.7010888832913453,5.524879103199053
460,2.7117848466145764,5.437580546165412
470,2.6137975183107494,5.38786485267987
480,2.759202442049348,5.330756892548044
490,2.7780712187372356,5.372564849820422
500,2.6619993548885943,5.436627982732737
510,2.6929796313034995,5.3719606179041985
520,2.7930921729666007,5.274943636154527
530,2.774634308299906,5.263518547599643
540,2.7797649358543968,5.26329723272339
550,2.7630945918409,5.253108631120695
560,2.7963025162965978,5.185635686670516
570,2.792493649841748,5.170253285354671
580,2.8267378851485545,5.175959318121487
590,2.790682956977269,5.107078387267262
600,2.8386914805127677,5.186721987051215
610,2.817755639678288,5.126944359298066
620,2.85507525985025,5.132620883125634
630,2.78651989658374,5.1021058198775995
640,2.8078165349406663,5.136795971503441
650,2.8897967418032855,5.052328029059643
660,2.871302680739632,5.081804430775504
670,2.9015189634693774,5.0575270208595935
680,2.9077535420816187,5.042660494869187
690,2.9290306247707876,5.003911032887652
700,2.920932392792737,4.996497949515886
710,2.8918592751283954,5.005286334654248
720,2.883582350976953,4.9839259331140235
730,2.9066855113141634,4.995844830537919
740,2.947912003133122,5.015480345632915
750,2.940660418924921,4.924322201104344
760,2.962877363366735,4.9924795819915495
770,2.9738878668597226,4.978315159779101
780,3.0219499979622215,4.865739385245187
790,3.0574193129253464,4.960568774005327
800,3.0303597448019364,5.021124773019033
810,2.971325569809832,4.894725376132139
820,3.000830377750088,5.009438793924115
830,3.030406838514124,4.96213431027394
840,2.9337199554582645,4.923348418704131
850,3.0993395837979367,4.893702950182984
860,2.9991192877454185,4.8631332992664795
870,3.0991306809492083,4.825204563375248
880,3.0587709138500756,5.006659383553761
890,3.0411444937978103,4.962467077448187
900,3.0470861994135507,4.836445454405843
910,3.0884219511721374,4.853482173653096
920,3.0964174599485634,4.812065837808839
930,3.075304092734085,4.8850005726866135
940,3.0652896002933163,4.802285031552142
