Lambda,avgtrain,testavg
10,0.059075713805687734,5.785146050417948
20,0.08526970079527812,5.659093303531937
30,0.11158014313977278,5.967856617423305
40,0.13950631658746068,6.3074894115376745
50,0.16184036639938035,6.517590193896475
60,0.21956096883009743,6.834721056619107
70,0.2810560182237044,7.30594415246581
80,0.38777383328550064,7.88629888650674
90,0.4235577366446044,7.759361932446964
100,0.5772516492151651,8.249334004697731
110,0.6337264166561809,7.847970894320227
120,0.8936954247256864,8.177509873168669
130,1.0645935044562242,8.15853040448898
140,1.188040930575523,8.448231623687601
150,1.2164858479904674,7.751918352820621
160,1.2917372577242965,7.883840415143259
170,1.4581607602235611,7.754003711940764
180,1.5552869051368938,7.18162948055152
190,1.6139796366962496,7.1972895764469245
200,1.6695138317427987,7.197585230472767
210,1.758685390690871,6.865901090669193
220,1.85107295488356,6.977375303421272
230,1.8783399420505202,6.580612177695785
240,2.010228896720705,6.604701876976285
250,2.099319329830694,6.547602249202456
260,2.0532578819136917,6.490073543897451
270,2.185169467434551,6.2568620837602005
280,2.2364367273359465,6.074394311752809
290,2.2306134009793483,6.038939956967016
300,2.23800784773141,6.029609837928435
310,2.3232533021142467,5.983768589516823
320,2.3624094536877416,5.971691088602033
330,2.4021758493522607,5.878500290292493
340,2.4235429049563737,5.963989377642605
350,2.4908506840391196,5.654397573831111
360,2.4087662267884355,5.70381566806782
370,2.519582366155512,5.650709970617195
380,2.4672809239322797,5.691131216503122
390,2.5595856305550613,5.60398325293468
400,2.5937801224467076,5.6344377323783865
410,2.6135285687158887,5.542592032157589
420,2.580846171246259,5.556214164438354
430,2.6256092673071674,5.61747472208714
440,2.663948869240472,5.3910851968949105
450,2.678871696190147,5.3635043041883925
460,2.6198677888617903,5.450554632970959
470,2.720765658254848,5.385905016739435
480,2.62925911383662,5.344349641334196
490,2.7643645509117567,5.24587705576099
500,2.68610085724054,5.229934640421135
510,2.691436974902712,5.2645582630061405
520,2.693504272075102,5.2002569795445055
530,2.7265041660278917,5.243804413928097
540,2.76515180766763,5.127800435600123
550,2.758429814552486,5.2448156610918675
560,2.800416176218557,5.122111971791118
570,2.824335981319268,5.175447020300596
580,2.8804273970404095,5.151857848772116
590,2.8182964093011096,5.189058755175556
600,2.87679685030436,5.0979586599616225
610,2.9309347474061265,5.0806069841291315
620,2.932930987010773,5.1438628476187525
630,2.9330427765087004,5.0610978994903215
640,2.947022897223258,5.08575281969907
650,2.876230299889654,5.086544502811701
660,2.9570151404478433,5.013443739177209
670,2.933175073524063,5.08719563048264
680,2.929109058366812,5.058769374939849
690,2.893176696754745,5.047667644294951
700,2.942967452593775,5.066783857387999
710,2.9335761775553166,4.973345673420043
720,2.934442829044579,4.9676413727748345
730,2.9486634659189646,4.956408803955298
740,2.9583904840003243,4.977375107689623
750,2.9954680923097188,4.989485592722976
760,2.9599418150483965,5.003235513811693
770,2.8965973963760305,4.925212722737969
780,2.92665690683397,4.937996063806171
790,2.957569307048979,5.004473108770148
800,3.0377593233601687,4.9637865462389925
810,2.9799156213613993,4.8606585295860745
820,2.988828556935141,4.940959897861259
830,3.0095378257714605,4.911698609253986
840,3.055447320576354,4.849378207658167
850,3.038740200406701,4.830778521971371
860,3.0515609876944443,4.861250098455554
870,3.047642524957704,4.867622125676423
880,3.0561457611686436,4.919841027408767
890,2.9894771190184546,4.984179085604507
900,3.083363686783378,4.828958926105686
910,3.0617519032731138,4.837956361808755
920,3.0954796548145707,4.77539668028225
930,3.0670213785954856,4.839880291980114
940,3.0891423155557307,4.810012220748138
